strategy,data_file,coin,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,calmar,mdd,win_rate,profit_factor,avg_win,avg_loss,total_roundtrips,total_trades,buys,sells,total_fees
ensemble,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,23028.227874741682,1.302822787474168,0.1564923377196123,0.1281077914801838,1.2215676807026803,0.883695608403691,-0.1770885090188652,0.6086956521739131,4.334984171718584,1209.6258228896786,-434.05929396820216,23,46,23,23,163.27806352438364
supertrend,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,16771.48300166957,0.6771483001669572,0.10562121597675711,0.13055189971527045,0.8090362239561782,0.4163506261969046,-0.25368333642517293,0.625,2.459109692687985,1141.2315034794574,-773.4720055208332,16,32,16,16,125.64413817251746
adaptive_regime,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,20106.378419900655,1.0110401505721875,0.14385082624602527,0.150715706718679,0.9544514594857592,0.5608571197576174,-0.25648390860694015,0.4318181818181818,2.1180601001568813,1031.0487073979207,-369.95976533639436,44,89,45,44,335.1331318887078
macd_volume,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,19639.50506975582,0.9639505069755823,0.13241624626304374,0.10693781644711002,1.2382546292900674,1.0477654619397512,-0.12637966326629135,0.45454545454545453,3.775410788712749,1311.2686448511909,-289.43178156300627,22,44,22,22,181.45598288034984
multi_factor,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,22176.70342461753,1.2176703424617532,0.16110242738638422,0.15202451106770215,1.0597135044465271,0.8411074108696095,-0.19153609313581188,0.4318181818181818,2.110723604055403,1217.8715722407978,-438.5142579183055,44,88,44,44,320.5570748342184
ma_cross,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,24660.285923313633,1.4665220200614768,0.16376554324373732,0.13142470574847934,1.2460788274915815,1.2915036935032818,-0.1268022260147177,0.4107142857142857,2.5129746364353047,1058.695488114063,-293.6275849487827,56,112,56,56,222.47235678602271
trend_following,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11716.752083176027,0.17167520831760275,0.03059625227405304,0.08271971270174347,0.36987860903243064,0.15376028015126533,-0.19898670998647694,0.15789473684210525,2.127697850546188,1079.7010669495562,-95.14694485454017,19,38,19,19,45.24308482994569
dual_momentum,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11314.840674467196,0.13148406744671948,0.02291999644319234,0.043823304009488445,0.5230093202855445,0.3255891062741732,-0.07039546471670399,0.5714285714285714,3.3526302811771735,234.21522579487328,-93.1468553152982,14,28,14,14,30.925102321826362
atr_breakout,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,20230.16989391383,1.0230169893913827,0.1245459493202205,0.08254957184913225,1.5087413117821151,1.8456397247741996,-0.06748118153645188,0.6304347826086957,2.89615437680527,538.8065458307348,-317.3658785398518,46,92,46,46,156.8887056286061
bollinger_squeeze,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,9890.65837377608,-0.010934162622392107,-0.0017567682904047806,0.022132837048404373,-0.07937384107077489,-0.03507096974879479,-0.05009180820926917,0.25,0.7370255165457454,306.4463422043556,-138.59598947609172,4,8,4,4,7.945148979617324
enhanced_trend,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,15311.321000017551,0.531132100001755,0.08054185303574031,0.12081056272321454,0.6666788997548224,0.3744495007105508,-0.21509403239296787,0.35,2.5354197638618534,1252.9312879224437,-266.0921550338106,20,40,20,20,64.21999888489609
enhanced_breakout,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.0
ensemble,data/ohlcv_full_ETHKRW_1d.parquet,ETHKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,21293.47266682421,1.1293472666824211,0.14288534097204816,0.13031738754998545,1.0964411093350503,1.0136133501187536,-0.14096631714084495,0.6190476190476191,5.698835655827229,1053.610354464873,-300.43274265239216,21,42,21,21,79.760943788586
